name,chr,start,end
1,chr2,88001566,88001766
2,chr3,127061467,127061667
3,chr3,172261516,172261716
4,chr3,176526318,176526518
5,chr4,113209395,113209595
7,chr7,70540478,70540678
8,chr7,107975319,107975519
9,chr7,152412182,152412382
10,chr9,129936300,129936500
11,chr12,44654550,44654750
12,chr13,34935463,34935663
13,chr16,88258293,88258493
14,chr17,18409361,18409561
15,chr17,73091266,73091466
16,chr22,27680203,27680403
17,chrX,138666973,138667173
18,chr1,17335918,17336118
19,chr1,19352919,19353119
20,chr1,43552942,43553142
21,chr1,54813539,54813739
22,chr1,226474276,226474476
23,chr4,694411,694611
24,chr4,80462022,80462222
25,chr5,115864604,115864804
26,chr5,130156408,130156608
27,chr5,139641631,139641831
28,chr6,9085968,9086168
29,chr6,143055970,143056170
30,chr7,15781850,15782050
31,chr7,30354459,30354659
33,chr9,33415402,33415602
34,chr9,129506300,129506500
35,chr10,47307967,47308167
36,chr12,1843973,1844173
37,chr14,67198930,67199130
38,chr15,40238107,40238307
39,chr16,19316977,19317177
40,chr16,84558493,84558693
41,chr17,79029723,79029923
42,chr19,10085524,10085724
43,chr22,26570035,26570235
44,chr2,85456766,85456966
45,chr2,134825760,134825960
46,chr3,183826918,183827118
47,chr5,714685,714885
48,chr5,129399208,129399408
49,chr6,15207990,15208190
50,chr6,73129756,73129956
51,chr6,132967968,132968168
52,chr6,142148570,142148770
53,chr7,139955132,139955332
54,chr10,81901064,81901264
55,chr12,117118612,117118812
56,chr12,131428102,131428302
57,chr13,107562851,107563051
58,chr14,77654904,77655104
59,chr16,52310587,52310787
60,chr17,37609439,37609639
61,chr17,57782240,57782440
62,chr19,709000,709200
63,chr20,12596153,12596353
64,chr21,31914417,31914617
65,chr21,36792629,36792829
66,chr22,48683476,48683676
67,chrX,79366247,79366447
68,chr1,58702740,58702940
69,chr1,180240042,180240242
70,chr2,84313565,84313765
71,chr3,57159132,57159332
72,chr4,3304075,3304275
73,chr6,42183884,42184084
74,chr7,6374244,6374444
75,chr7,21539457,21539657
76,chr9,97072897,97073097
77,chr9,99722897,99723097
78,chr10,46323558,46323758
79,chr11,12461277,12461477
80,chr11,122524082,122524282
81,chr12,97461891,97462091
82,chr15,40766710,40766910
83,chr17,43919106,43919306
84,chr2,85456566,85456766
85,chr2,183511227,183511427
86,chr3,78897360,78897560
87,chr5,127328809,127329009
88,chr5,141743249,141743449
89,chr6,24693193,24693393
90,chr7,100643441,100643641
91,chr10,14330195,14330395
92,chr11,6475594,6475794
93,chr11,113861068,113861268
94,chr13,39578863,39579063
95,chr14,74414744,74414944
96,chr15,50058111,50058311
97,chr17,33970268,33970468
98,chr17,79860406,79860606
99,chr18,10087203,10087403
100,chr18,59579588,59579788
101,chrX,21840761,21840961
102,chr9,112848099,112848299
103,chr15,35020507,35020707
104,chr9,126346900,126347100
105,chr19,7380714,7380914
106,chr12,117101612,117101812
107,chr4,76073823,76074023
108,chr17,14323758,14323958
109,chr19,38494120,38494320
110,chr6,78580964,78581164
111,chr14,49809132,49809332
112,chr1,197811847,197812047
113,chr2,61581561,61581761
115,chr21,27269810,27270010
116,chr22,49718348,49718548
117,chr10,35525866,35526066
118,chr2,77966366,77966566
119,chr3,62919885,62920085
120,chr11,13003677,13003877
121,chr18,47975831,47976031
