name,chr,start,end
0,chrX,49039531,49039731
1,chr12,6335173,6335373
2,chr12,6335773,6335973
3,chr12,6335973,6336173
4,chr12,6336173,6336373
5,chr12,6532173,6532373
6,chr12,6536173,6536373
7,chr12,6943176,6943376
8,chr12,46387150,46387350
9,chr12,53379149,53379349
10,chr12,108691295,108691495
11,chr12,108692095,108692295
12,chr12,122399500,122399700
13,chr12,122400300,122400500
14,chr11,6606594,6606794
15,chr11,9565677,9565877
16,chr11,46554874,46555074
17,chr11,47407273,47407473
18,chr11,61971352,61971552
19,chr11,62553352,62553552
20,chr11,62553752,62553952
21,chr11,62879752,62879952
22,chr11,65419553,65419753
23,chr11,118913081,118913281
24,chr11,118913281,118913481
25,chr10,72254836,72255036
26,chr10,80459664,80459864
27,chr10,102151253,102151453
28,chr10,103908052,103908252
29,chr17,7574958,7575158
30,chr17,7579358,7579558
31,chr17,40113421,40113621
32,chr17,40113821,40114021
33,chr17,44095906,44096106
34,chr17,59845657,59845857
35,chr16,2251998,2252198
36,chr16,9048042,9048242
37,chr16,9048242,9048442
39,chr16,53098587,53098787
40,chr16,67241796,67241996
41,chr16,87388293,87388493
42,chr16,87778693,87778893
43,chr16,87853693,87853893
44,chr15,58331909,58332109
45,chr15,88638365,88638565
46,chr15,90400364,90400564
47,chr14,61103129,61103329
48,chr14,61103329,61103529
49,chr14,61103529,61103729
50,chr14,73742144,73742344
51,chr14,76955704,76955904
52,chr19,4374403,4374603
53,chr19,4375003,4375203
54,chr19,4375203,4375403
55,chr19,6738589,6738789
56,chr19,13164386,13164586
57,chr19,13164586,13164786
58,chr19,14518788,14518988
59,chr19,18282790,18282990
60,chr19,38683320,38683520
61,chr19,38683720,38683920
62,chr19,38684120,38684320
63,chr19,38685320,38685520
64,chr19,38686520,38686720
65,chr19,39402520,39402720
66,chr19,39434320,39434520
67,chr18,3596802,3597002
68,chr18,3602802,3603002
69,chr18,3606202,3606402
70,chr18,23259838,23260038
71,chr18,23260238,23260438
72,chr22,30196411,30196611
73,chr22,30196611,30196811
74,chr22,35376607,35376807
75,chr22,35377007,35377207
76,chr22,36330409,36330609
77,chr22,36331009,36331209
78,chr22,36331209,36331409
79,chr22,36331409,36331609
80,chr20,10511552,10511752
81,chr20,31572536,31572736
82,chr20,31572736,31572936
